Course,Link,Icon
csc108h5,https://www.cs.toronto.edu/~quellan/courses/csc108/lectures.shtml,computer
csc148h5,https://github.com/WeiCUI6/CSC148-2018-Winter,code
mat102h5,https://www.youtube.com/@liyinghe35,function
isp100h5,https://www.utm.utoronto.ca/isup/our-courses/isp100-writing-university-and-beyond,edit
mat135h5,https://utm.calendar.utoronto.ca/course/mat135h5,calculate
mat136h5,https://utm.calendar.utoronto.ca/course/mat136h5,calculate
csc207h5,https://mcs.utm.utoronto.ca/~207/lectures.html,developer_mode
csc236h5,https://www.cs.toronto.edu/~colin/236/W20/lectures_and_tutorials/,developer_mode
csc209h5,https://github.com/rhubarbwu/csc209/tree/master/lectures/lec01,developer_mode
csc258h5,https://www.cs.utoronto.ca/~sengels/csc258/lectures.shtml,developer_mode
csc263h5,https://github.com/cristynhoward/csc263,account_tree
mat223h5,https://utm.calendar.utoronto.ca/course/mat223h5,developer_mode
mat232h5,https://utm.calendar.utoronto.ca/course/mat232h5,developer_mode
sta256h5,https://utm.calendar.utoronto.ca/course/sta256h5,developer_mode
sta107h5,https://utm.calendar.utoronto.ca/course/sta107h5,developer_mode
csc311h5,https://www.cs.toronto.edu/~rgrosse/courses/csc311_f21/,smart_toy
csc343h5,https://gdancik.github.io/CSC-343/notes/,developer_mode
csc369h5,https://utm.calendar.utoronto.ca/course/csc369h5,developer_mode
csc373h5,https://www.cs.toronto.edu/~milad/csc373/lectures.shtml,developer_mode
csc358h5,https://mcs.utm.utoronto.ca/~358/,developer_mode
csc458h5,https://utm.calendar.utoronto.ca/course/csc458h5,developer_mode
